Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Data Scientist spécialisé Machine Learning / Leader entertainment / Multiprojet / 40-55k,Data Scientist spécialisé Machine Learning / Leader entertainment / Multiprojet / 40-55k - Boulogne-Billancourt (92) - Indeed.fr,INTEAM,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ingénieur Data Science H/F,Ingénieur Data Science H/F - Bobigny (93) - Indeed.fr,Valeo,Valeo,2,"4,0","3,6","3,9","3,4","3,5","3,7"
IT Graduate program - Data Engineer (H/F),IT Graduate program - Data Engineer (H/F) - Lyon (69) - Indeed.fr,Volvo Group,Volvo,2,"4,1","4,0","4,0","3,6","3,6","3,9"
Data Scientist h/f,Data Scientist h/f - Paris (75) - Indeed.fr,Innov'ICTion,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Big Data / Data scientist,Big Data / Data scientist - Lyon (69) - Indeed.fr,Speedmedia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA SCIENTIST F/H,DATA SCIENTIST F/H - Lyon 8e (69) - Indeed.fr,Sham,SHAM,3,"4,3","4,3","3,3","3,0","3,7","3,7"
Ingénieur(e) Big Data F/H,Ingénieur(e) Big Data F/H - Paris (75) - Indeed.fr,Groupe-Casino,Groupe CASINO,135,"3,5","3,3","3,2","3,2","3,1","3,4"
Product Owner H/F,Product Owner H/F - 92300 Levallois-Perret - Indeed.fr,Jellysmack,Jellysmack,11,"4,4","4,2","4,0","4,1","4,2","4,4"
STG BI - Big Data,STG BI - Big Data - Lyon (69) - Indeed.fr,Atos,ATOS,2,"3,6","3,6","3,3","3,2","3,2","3,4"
Consultant / Consultant confirmé – Data Scientist F/H,Consultant / Consultant confirmé – Data Scientist F/H - Lyon 1er (69) - Indeed.fr,Exponentiel,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA QUALITY ANALYST H/F,DATA QUALITY ANALYST H/F - Paris (75) - Indeed.fr,BNP Paribas,BNP Paribas,2,"3,9","3,9","3,7","3,6","3,5","3,8"
Data engineer Lyon,Data engineer Lyon - Lyon (69) - Indeed.fr,MALT,Malt,4,"3,8","3,8","4,0","3,5","3,0","3,5"
Data Scientist H/F,Data Scientist H/F - Lyon (69) - Indeed.fr,KELTIS,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOBDATING - Stage DATA (H/F),JOBDATING - Stage DATA (H/F) - Paris (75) - Indeed.fr,Publicis Media,Publicis Media,17,"3,4","3,9","3,3","2,9","3,3","3,6"
Stage - Data Scientist,Stage - Data Scientist - Paris (75) - Indeed.fr,SCOR,SCOR,211,"3,4","3,6","3,0","2,8","3,1","2,9"
Data Analyst/Data Scientist (H/F),Data Analyst/Data Scientist (H/F) - 69002 Lyon 2e - Indeed.fr,ADECCO PME,Adecco,14,"3,8","3,7","3,3","3,1","3,5","3,6"
Stage - Data Scientist Assistant (H/F),Stage - Data Scientist Assistant (H/F) - 93100 Montreuil - Indeed.fr,Ubisoft,Ubisoft,190,"4,0","4,0","3,3","3,4","3,5","4,1"
Data scientist programmateur Stagiaire,Data scientist programmateur Stagiaire - Paris (75) - Indeed.fr,REGULATION PARTNERS,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data scientist BI (H/F),Data scientist BI (H/F) - Lyon (69) - Indeed.fr,Manpower,Manpower,14,"3,8","3,7","3,3","3,2","3,5","3,6"
STAGE - DATA SCIENTIST EN RISQUES DE CREDIT - 1ER SEMESTRE 2019 - F/H,STAGE - DATA SCIENTIST EN RISQUES DE CREDIT - 1ER SEMESTRE 2019 - F/H - 92100 Boulogne-Billancourt - Indeed.fr,Ingeniance,INGENIANCE,18,"3,7","3,9","3,8","3,7","3,4","4,0"
Consultant décisionnel H/F Lyon,Consultant décisionnel H/F Lyon - Lyon (69) - Indeed.fr,iORGA Group,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist,Data Scientist - 75008 Paris 8e - Indeed.fr,Bolden,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA SCIENTIST F/H,DATA SCIENTIST F/H - Lyon 8e (69) - Indeed.fr,Sham,SHAM,3,"4,3","4,3","3,3","3,0","3,7","3,7"
Data Scientist End-of-Studies Internship,Data Scientist End-of-Studies Internship - Paris (75) - Indeed.fr,SESAMm,SESAMm,2,"5,0","4,5","5,0","4,5","5,0","5,0"
Big Data / Data scientist,Big Data / Data scientist - Lyon (69) - Indeed.fr,Speedmedia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist,Data Scientist - Malakoff (92) - Indeed.fr,L'AgenceRP,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
