Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Data Analyst,Data Analyst - 75008 Paris 8e - Indeed.fr,Bolden,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
STRATEGY & BUSINESS ANALYST H/F,STRATEGY & BUSINESS ANALYST H/F - Lyon (69) - Indeed.fr,Sham,SHAM,3,"4,3","4,3","3,3","3,0","3,7","3,7"
Junior Data Analyst,Junior Data Analyst - Paris 2e (75) - Indeed.fr,vroom,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pricing analyst H/F,Pricing analyst H/F - Lyon (69) - Indeed.fr,FED FINANCE,Fed Finance,5,"3,2","3,5","3,5","3,0","3,0","3,5"
Data Analyst H/F,Data Analyst H/F - 92290 Châtenay-Malabry - Indeed.fr,Verisure par Securitas Direct,Verisure par Securitas Direct,204,"4,0","3,3","3,8","4,0","3,8","4,0"
PRICING ANALYST H/F,PRICING ANALYST H/F - Lyon (69) - Indeed.fr,Fed IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Trading support analyst,Trading support analyst - Paris (75) - Indeed.fr,Radley James,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Analyste développeur Datastage - Cognos,Analyste développeur Datastage - Cognos - Lyon (69) - Indeed.fr,2s2i Solutions & Services.,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Analyste Data & Digital Media H/F,Analyste Data & Digital Media H/F - Paris (75) - Indeed.fr,Groupe Pierre & Vacances - Center Parcs,Groupe Pierre & Vacances - Center Parcs,58,"4,0","3,7","3,3","3,4","3,5","3,7"
Pricing analyst H/F,Pricing analyst H/F - Lyon (69) - Indeed.fr,FED FINANCE,Fed Finance,5,"3,2","3,5","3,5","3,0","3,0","3,5"
Data Analyst / Data Visualisation Consultant (F/H),Data Analyst / Data Visualisation Consultant (F/H) - Paris (75) - Indeed.fr,Novencia,Novencia,5,"5,0","5,0","5,0","5,0","5,0","5,0"
Profil Full DevOps,Profil Full DevOps - Lyon (69) - Indeed.fr,AMETIX,AMETIX,2,"4,5","4,5","4,5","4,5","4,5","4,5"
Data Scientist Junior H/F,Data Scientist Junior H/F - Saint-Denis (93) - Indeed.fr,Valeo,Valeo,2,"4,0","3,6","3,9","3,4","3,5","3,7"
Stage : Analyste Développeur BI (H/F),Stage : Analyste Développeur BI (H/F) - Lyon (69) - Indeed.fr,CGI,CGI Group,2,"3,7","3,7","3,5","3,3","3,3","3,5"
Business analyst H/F,Business analyst H/F - Paris (75) - Indeed.fr,FINALCAD,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Media Trader et Data Analyst (CDI),Media Trader et Data Analyst (CDI) - Tassin-la-Demi-Lune (69) - Indeed.fr,ADTHINK,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Advertising Data Analyst,Advertising Data Analyst - 75009 Paris 9e - Indeed.fr,Work4 Labs,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst,Data Analyst - Paris (75) - Indeed.fr,L'AgenceRP,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst M/F,Data Analyst M/F - Lyon (69) - Indeed.fr,Volvo Group,Volvo,2,"4,1","4,0","4,0","3,6","3,6","3,9"
Data Analyst Digital Banking (H/F) en Stage,Data Analyst Digital Banking (H/F) en Stage - Lyon (69) - Indeed.fr,Atos,ATOS,2,"3,6","3,6","3,3","3,2","3,2","3,4"
Game Data Analyst,Game Data Analyst - Paris (75) - Indeed.fr,Gameloft,Gameloft,67,"3,8","3,8","3,2","3,0","3,2","3,5"
MEDIA TRADER & DATA ANALYST F/H,MEDIA TRADER & DATA ANALYST F/H - Lyon 1er (69) - Indeed.fr,ADTHINK MEDIA,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDI - Data Analyst - H/F,CDI - Data Analyst - H/F - Paris (75) - Indeed.fr,Reed Exhibitions,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Social Data Analyst,Social Data Analyst - Paris (75) - Indeed.fr,FunFacts,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stage : Consultant Data & Innovation en Transport et Mobilité durable,Stage : Consultant Data & Innovation en Transport et Mobilité durable - Lyon (69) - Indeed.fr,EM Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Analyste développeur Cognos / Datastage H/F,Analyste développeur Cognos / Datastage H/F - Lyon (69) - Indeed.fr,2s 2i Solutions & Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA ANALYST - CRM & TRAFIC - CDI- F/H,DATA ANALYST - CRM & TRAFIC - CDI- F/H - Clichy (92) - Indeed.fr,Sarenza,Sarenza,20,"4,2","4,2","3,4","2,9","3,6","4,2"
Growth Data Analyst,Growth Data Analyst - Paris (75) - Indeed.fr,iBanFirst,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Growth Data Analyst | Fintech x Startup,Growth Data Analyst | Fintech x Startup - Paris 8e (75) - Indeed.fr,iBanFirst,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
STRATEGY & BUSINESS ANALYST F/H,STRATEGY & BUSINESS ANALYST F/H - Lyon 8e (69) - Indeed.fr,Sham,SHAM,3,"4,3","4,3","3,3","3,0","3,7","3,7"
Stagiaire Web Data Analyst,Stagiaire Web Data Analyst - Paris (75) - Indeed.fr,Rakuten France,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst - Drive to web,Data Analyst - Drive to web - La Défense (92) - Indeed.fr,Dentsu Aegis Network,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT Graduate program - Data Engineer (H/F),IT Graduate program - Data Engineer (H/F) - Lyon (69) - Indeed.fr,Volvo Group,Volvo,2,"4,1","4,0","4,0","3,6","3,6","3,9"
Product Data Analyst - BI - H/F,Product Data Analyst - BI - H/F - Paris (75) - Indeed.fr,Cegid,CEGID,36,"3,4","3,6","3,2","2,9","3,1","3,3"
IT Business Analyst,IT Business Analyst - Lyon (69) - Indeed.fr,Interpol,Interpol,15,"4,0","4,0","4,0","3,5","3,9","4,1"
Data Analyst H/F,Data Analyst H/F - 92290 Châtenay-Malabry - Indeed.fr,Verisure par Securitas Direct,Verisure par Securitas Direct,204,"4,0","3,3","3,8","4,0","3,8","4,0"
Data Analyst Digital Banking (H/F) en Stage,Data Analyst Digital Banking (H/F) en Stage - Rhône - Indeed.fr,Atos,ATOS,2,"3,6","3,6","3,3","3,2","3,2","3,4"
Développeur sur un centre de service Digital - Lyon H/F,Développeur sur un centre de service Digital - Lyon H/F - Lyon (69) - Indeed.fr,Viveris,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Product Data Analyst - BI - H/F,Product Data Analyst - BI - H/F - Paris (75) - Indeed.fr,Cegid,CEGID,36,"3,4","3,6","3,2","2,9","3,1","3,3"
Data Scientist Junior H/F,Data Scientist Junior H/F - Saint-Denis (93) - Indeed.fr,Valeo,Valeo,2,"4,0","3,6","3,9","3,4","3,5","3,7"
Profil Full DevOps,Profil Full DevOps - Lyon (69) - Indeed.fr,AMETIX,AMETIX,2,"4,5","4,5","4,5","4,5","4,5","4,5"
PRICING analyste informatique H/F,PRICING analyste informatique H/F - Lyon (69) - Indeed.fr,FED IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Business Analyst H/F,Business Analyst H/F - 92100 Boulogne-Billancourt - Indeed.fr,TechSell,Techsell,36,"3,6","3,7","3,4","3,0","3,6","3,7"
IS Hosting Architecture Analyst,IS Hosting Architecture Analyst - Lyon (69) - Indeed.fr,Solvay,Solvay,266,"3,9","3,7","3,8","3,4","3,4","3,6"
Data Analyst (H/F) / Freelance,Data Analyst (H/F) / Freelance - Lyon (69) - Indeed.fr,insitoo-it,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Analyste Data & Digital Media H/F,Analyste Data & Digital Media H/F - Paris (75) - Indeed.fr,Groupe Pierre & Vacances - Center Parcs,Groupe Pierre & Vacances - Center Parcs,58,"4,0","3,7","3,3","3,4","3,5","3,7"
BUSINESS ANALYST H/F,BUSINESS ANALYST H/F - Lyon (69) - Indeed.fr,SQLI France,SQLI,21,"3,4","3,6","3,0","3,4","2,9","3,4"
Business Analyst H/F,Business Analyst H/F - 92300 Levallois-Perret - Indeed.fr,Jellysmack,Jellysmack,11,"4,4","4,2","4,0","4,1","4,2","4,4"
Business Analyst F/H,Business Analyst F/H - Villeurbanne (69) - Indeed.fr,AMILTONE,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst,Data Analyst - Arcueil (94) - Indeed.fr,Actimage,ACTIMAGE,6,"3,7","4,2","3,3","3,7","3,3","3,5"
Data Analyst H/F / Freelance,Data Analyst H/F / Freelance - Lyon (69) - Indeed.fr,DCS EASYWARE,DCS EASYWARE,17,"2,9","3,1","2,6","2,9","2,6","2,5"
