Titre,Titre2,Nom,Nom2,Avis,NoteGlobale,Équilibre_vie_professionnelle_personnelle,Salaire_Avantages_sociaux,Sécurité_emploi_Évolution_carrière,Management,Culture_d'entreprise,Metier
LEAD DATA SCIENTIST - COMMERCE - PARIS,LEAD DATA SCIENTIST - COMMERCE - PARIS - PARIS (75) - INDEED.FR,Twenty Recruitment Group,,,,,,,,,data_scientist
DATA ENGINEER - STARTUP QUI BOUGE !,DATA ENGINEER - STARTUP QUI BOUGE ! - PARIS (75) - INDEED.FR,Easy Partner,,,,,,,,,data_scientist
DATA SCIENTIST F/H,DATA SCIENTIST F/H - CHAMPS-SUR-MARNE (77) - INDEED.FR,CSTB,CSTB,11.0,"2,9","3,0","2,6","2,0","2,0","2,7",data_scientist
STAGE 6 MOIS - DATA SCIENTIST H/F - PARIS 13ÈME,STAGE 6 MOIS - DATA SCIENTIST H/F - PARIS 13ÈME - PARIS (75) - INDEED.FR,Natixis,Natixis,357.0,"3,9","3,9","3,8","3,4","3,6","3,7",data_scientist
DATA SCIENTIST – PARIS (75)-(H/F),DATA SCIENTIST – PARIS (75)-(H/F) - PARIS (75) - INDEED.FR,Crédit Du Nord,Groupe Crédit du Nord,125.0,"3,8","3,8","3,7","3,4","3,3","3,5",data_scientist
DATASCIENTIST,DATASCIENTIST - VAL-DE-MARNE - INDEED.FR,HIGHTEAM,,,,,,,,,data_scientist
CHEF DE PROJETS TARIFICATION ET PERFORMANCE DES VENTES (H/F),CHEF DE PROJETS TARIFICATION ET PERFORMANCE DES VENTES (H/F) - PARIS (75) - INDEED.FR,Natixis,Natixis,357.0,"3,9","3,9","3,8","3,4","3,6","3,7",data_scientist
CCIAT ARCUEIL // DATA SCIENTIST,CCIAT ARCUEIL // DATA SCIENTIST - 94114 ARCUEIL - INDEED.FR,Direction des ressources humaines - Recruteur défense (BNE),Ministère de la Défense,399.0,"4,1","3,6","3,6","4,0","3,7","3,9",data_scientist
STAGE DATA SCIENTIST MINE DIGITALE : ANALYSE DE PROCÉDÉS INDUSTRIELS H/F,STAGE DATA SCIENTIST MINE DIGITALE : ANALYSE DE PROCÉDÉS INDUSTRIELS H/F - LA DÉFENSE (92) - INDEED.FR,Orano,Orano,676.0,"4,0","3,9","3,9","3,4","3,5","3,8",data_scientist
DATA ENGINEER (STAGE),DATA ENGINEER (STAGE) - PARIS (75) - INDEED.FR,Kayrros,,,,,,,,,data_scientist
DATA SCIENTIST (INTERNSHIP),DATA SCIENTIST (INTERNSHIP) - PARIS (75) - INDEED.FR,Teads,,,,,,,,,data_scientist
STAGE DATA SCIENTIST - NLP,STAGE DATA SCIENTIST - NLP - 75009 PARIS 9E - INDEED.FR,Numberly,,,,,,,,,data_scientist
STAGE JUILLET 2019 - BUSINESS INTELLIGENCE & DATA ANALYST - RETAIL/TECH,STAGE JUILLET 2019 - BUSINESS INTELLIGENCE & DATA ANALYST - RETAIL/TECH - PARIS (75) - INDEED.FR,L'AgenceRP,,,,,,,,,data_scientist
DATA ENGINEER JUNIOR (H/F) - STAGE PARIS,DATA ENGINEER JUNIOR (H/F) - STAGE PARIS - PARIS (75) - INDEED.FR,Kapten (ex-Chauffeur Privé),,,,,,,,,data_scientist
DATA SCIENTIST,DATA SCIENTIST - LA DÉFENSE (92) - INDEED.FR,Antares,Antares,69.0,"4,0","3,6","3,5","3,4","3,5","3,5",data_scientist
DATA SCIENTIST FIDÉLISATION & ANIMATION CLIENTS F/H,DATA SCIENTIST FIDÉLISATION & ANIMATION CLIENTS F/H - IVRY-SUR-SEINE (94) - INDEED.FR,Fnac,Fnac,452.0,"4,0","3,8","3,5","3,2","3,6","3,9",data_scientist
DÉVELOPPEUR BACK END JAVA SQL SÉNIOR- MOTEUR DE LOGICIEL D'ANALYSE - CLIENT FINAL - H/F,DÉVELOPPEUR BACK END JAVA SQL SÉNIOR- MOTEUR DE LOGICIEL D'ANALYSE - CLIENT FINAL - H/F - PARIS (75) - INDEED.FR,L2C,,,,,,,,,data_scientist
INGÉNIEUR INFORMATIQUE DEVOPS H/F,INGÉNIEUR INFORMATIQUE DEVOPS H/F - PARIS (75) - INDEED.FR,Uniware,,,,,,,,,data_scientist
NINJA MARKETING & CLIENT,NINJA MARKETING & CLIENT - 92400 COURBEVOIE - INDEED.FR,Visiblee,,,,,,,,,data_scientist
BUSINESS DEVELOPER @DATA,BUSINESS DEVELOPER @DATA - PARIS (75) - INDEED.FR,La Relève,La Relève,3.0,"4,7","4,0","4,5","4,0","4,0","4,0",data_scientist
DATA SCIENTIST FIDÉLISATION & ANIMATION CLIENTS F/H,DATA SCIENTIST FIDÉLISATION & ANIMATION CLIENTS F/H - IVRY-SUR-SEINE (94) - INDEED.FR,Fnac-Darty,,,,,,,,,data_scientist
DATA ANALYST (H/F),DATA ANALYST (H/F) - BOULOGNE-BILLANCOURT (92) - INDEED.FR,Renault,Renault,3.0,"4,0","3,9","3,7","3,5","3,6","3,8",data_scientist
DATA ANALYST PROGRAMMATIQUE,DATA ANALYST PROGRAMMATIQUE - 75009 PARIS 9E - INDEED.FR,Numberly,,,,,,,,,data_scientist
DATA ANALYST INTERN,DATA ANALYST INTERN - PARIS (75) - INDEED.FR,Dashlane,Dashlane,2.0,"3,5","4,0","4,0","4,0","2,5","3,0",data_scientist
DATA ANALYST (H/F),DATA ANALYST (H/F) - PARIS (75) - INDEED.FR,MFG Labs,,,,,,,,,data_scientist
DATA MINER/ DATA SCIENTIST H/F,DATA MINER/ DATA SCIENTIST H/F - 75012 PARIS 12E - INDEED.FR,AgircArrco,,,,,,,,,data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS 13E (75) - INDEED.FR,Vekia,,,,,,,,,data_scientist
DATA SCIENTIST,DATA SCIENTIST - 75009 PARIS 9E - INDEED.FR,Numberly,,,,,,,,,data_scientist
RTB DATA SCIENTIST INTERN,RTB DATA SCIENTIST INTERN - 75009 PARIS 9E - INDEED.FR,Numberly,,,,,,,,,data_scientist
INGÉNIEUR INFORMATIQUE LOGICIELDATA SCIENCE GRANDE ÉCOLE HF,INGÉNIEUR INFORMATIQUE LOGICIELDATA SCIENCE GRANDE ÉCOLE HF - PARIS (75) - INDEED.FR,FED IT,,,,,,,,,data_scientist
INGÉNIEUR LOGICIEL,INGÉNIEUR LOGICIEL - PARIS (75) - INDEED.FR,FED FINANCE,Fed Finance,5.0,"3,2","3,5","3,5","3,0","3,0","3,5",data_scientist
PRODUCT OWNER / COACH AGILE H/F,PRODUCT OWNER / COACH AGILE H/F - 78114 MAGNY-LES-HAMEAUX - INDEED.FR,Safran,Safran,1.0,"4,0","4,0","3,9","3,6","3,6","3,8",data_scientist
DATA INGÉNIEUR F/H,DATA INGÉNIEUR F/H - PARIS (75) - INDEED.FR,Zenika,,,,,,,,,data_scientist
DATA SCIENTIST SENIOR (CONNAISSANCE CLIENT) H/F,DATA SCIENTIST SENIOR (CONNAISSANCE CLIENT) H/F - 92649 BOULOGNE-BILLANCOURT - INDEED.FR,Solocal Group,Solocal Group,39.0,"3,4","3,5","3,7","2,6","2,8","3,1",data_scientist
DATA SCIENTIST H/F,DATA SCIENTIST H/F - PARIS (75) - INDEED.FR,BPCE SA,Groupe Bpce,43.0,"3,7","3,8","3,5","3,3","3,1","3,3",data_scientist
"DATA SCIENTIST, STRATEGY CONSULTANT (H/F)","DATA SCIENTIST, STRATEGY CONSULTANT (H/F) - PARIS (75) - INDEED.FR",Ekimetrics,Ekimetrics,2.0,"2,5","2,5","3,0","3,5","3,0","4,0",data_scientist
EMERTON DATA - DOUBLE TRACK STRATEGY CONSULTANT & DATA SCIENTIST,EMERTON DATA - DOUBLE TRACK STRATEGY CONSULTANT & DATA SCIENTIST - PARIS (75) - INDEED.FR,Emerton,,,,,,,,,data_scientist
DATA SCIENTIST [CDI],DATA SCIENTIST [CDI] - PARIS (75) - INDEED.FR,Cardiologs,,,,,,,,,data_scientist
DATA SCIENTIST - ADS (M/F),DATA SCIENTIST - ADS (M/F) - PARIS (75) - INDEED.FR,Voodoo,,,,,,,,,data_scientist
DATA SCIENTIST F/H,DATA SCIENTIST F/H - PARIS 1ER (75) - INDEED.FR,DATATORII,,,,,,,,,data_scientist
"CONSULTANT(E) STRATÉGIE DIGITALE, DATA & IA H/F","CONSULTANT(E) STRATÉGIE DIGITALE, DATA & IA H/F - HAUTS-DE-SEINE - INDEED.FR",Capgemini,Capgemini,6.0,"3,8","3,7","3,3","3,6","3,3","3,6",data_scientist
CDI - SENIOR DATA SCIENTIST H/F,CDI - SENIOR DATA SCIENTIST H/F - PARIS - INDEED.FR,General Electric,GE Corporate,6.0,"4,1","3,9","3,9","3,5","3,6","3,9",data_scientist
CDI DATA SCIENTIST,CDI DATA SCIENTIST - 92130 ISSY-LES-MOULINEAUX - INDEED.FR,Groupe CANAL+,Groupe Canal +,4.0,"3,5","3,3","4,0","4,0","2,7","2,5",data_scientist
DATA & CLINICAL RESEARCH SCIENTIST,DATA & CLINICAL RESEARCH SCIENTIST - PARIS (75) - INDEED.FR,Paris (75),,,,,,,,,data_scientist
CONSULTANT DATA SCIENTIST H/F,CONSULTANT DATA SCIENTIST H/F - COURBEVOIE (92) - INDEED.FR,Eversa,,,,,,,,,data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0",data_scientist
CDI DATA SCIENTIST H/F,CDI DATA SCIENTIST H/F - RUEIL-MALMAISON (92) - INDEED.FR,Unilever,Unilever,5.0,"4,2","3,9","4,0","3,7","3,8","4,0",data_scientist
IOS DEVELOPER (H/F) - CDI PARIS,IOS DEVELOPER (H/F) - CDI PARIS - PARIS (75) - INDEED.FR,Kapten,KAPTEN,4.0,"4,0","3,5","3,3","3,8","4,0","4,8",data_scientist
DATA SCIENTIST H/F,DATA SCIENTIST H/F - PARIS 8E (75) - INDEED.FR,Polyconseil,,,,,,,,,data_scientist
ARCHITECTE BIG DATA F/H,ARCHITECTE BIG DATA F/H - PARIS 8E (75) - INDEED.FR,BK SEARCH SARL,,,,,,,,,data_scientist
DIGITAL - DATA SCIENTIST (F/H),DIGITAL - DATA SCIENTIST (F/H) - PARIS (75) - INDEED.FR,Air Liquide,Air Liquide,1.0,"3,8","3,7","3,7","3,3","3,4","3,6",data_scientist
APPLIED RESEARCH SCIENTIST – MACHINE LEARNING H/F,APPLIED RESEARCH SCIENTIST – MACHINE LEARNING H/F - PARIS (75) - INDEED.FR,Rakuten France,,,,,,,,,data_scientist
DATA SCIENTIST SENIOR,DATA SCIENTIST SENIOR - PARIS (75) - INDEED.FR,MAWENZI PARTNERS,Mawenzi Partners,2.0,"3,0","3,0","4,0","2,5","3,0","3,0",data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,Awalee consulting,,,,,,,,,data_scientist
DÉVELOPPEUR PYTHON – OPTIMISATION ÉNERGÉTIQUE / IA & DATA SCIENCE,DÉVELOPPEUR PYTHON – OPTIMISATION ÉNERGÉTIQUE / IA & DATA SCIENCE - PARIS - INDEED.FR,In-Team,,,,,,,,,data_scientist
CONSULTANT BIG DATA KAIZEN DATA – LA DÉFENSE,CONSULTANT BIG DATA KAIZEN DATA – LA DÉFENSE - LA DÉFENSE (92) - INDEED.FR,Kaizen Data,,,,,,,,,data_scientist
DATA SCIENTIST(E) H/F,DATA SCIENTIST(E) H/F - 92150 SURESNES - INDEED.FR,Coheris,,,,,,,,,data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,Dentsu Aegis Network,,,,,,,,,data_scientist
DATA SCIENTIST (H/F),DATA SCIENTIST (H/F) - PARIS (75) - INDEED.FR,ASTEK,Astek,13.0,"3,8","3,8","3,5","3,2","3,2","3,0",data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,CAPFI,,,,,,,,,data_scientist
RESEARCH SCIENTIST - MACHINE LEARNING (PARIS),RESEARCH SCIENTIST - MACHINE LEARNING (PARIS) - PARIS (75) - INDEED.FR,Stuart,Stuart,36.0,"3,5","3,6","3,1","2,8","3,1","3,2",data_scientist
DÉVELOPPEUR PYTHON / DATA SCIENCE | OBJETS CONNECTÉS (IOT) – E SANTÉ,DÉVELOPPEUR PYTHON / DATA SCIENCE | OBJETS CONNECTÉS (IOT) – E SANTÉ - PARIS - INDEED.FR,In-Team,,,,,,,,,data_scientist
CONSULTANT DATA SCIENTIST - APPLIED INTELLIGENCE (H/F),CONSULTANT DATA SCIENTIST - APPLIED INTELLIGENCE (H/F) - PARIS (75) - INDEED.FR,Accenture,Accenture,15.0,"4,0","3,7","3,7","3,8","3,6","3,9",data_scientist
DATA-SCIENTIST,DATA-SCIENTIST - PARIS (75) - INDEED.FR,DEEPKI,,,,,,,,,data_scientist
DATA SCIENTIST SPÉCIALISÉ MACHINE LEARNING / LEADER ENTERTAINMENT / MULTIPROJET / 40-55K,DATA SCIENTIST SPÉCIALISÉ MACHINE LEARNING / LEADER ENTERTAINMENT / MULTIPROJET / 40-55K - PARIS - INDEED.FR,In-Team,,,,,,,,,data_scientist
DATA SCIENTIST CONFIRME - F/H,DATA SCIENTIST CONFIRME - F/H - 92100 BOULOGNE-BILLANCOURT - INDEED.FR,Ingeniance,INGENIANCE,18.0,"3,7","3,9","3,8","3,7","3,4","4,0",data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,Nextedia,Nextedia,5.0,"3,6","3,0","2,8","3,4","3,2","3,4",data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,Natexo,NATEXO,7.0,"3,1","2,6","3,0","3,3","2,9","3,0",data_scientist
CHEF DE PROJET BIG DATA,CHEF DE PROJET BIG DATA - PARIS 8E (75) - INDEED.FR,OPPCHAIN PARIS,,,,,,,,,data_scientist
INGÉNIEUR PYTHON ET BIG DATA & DÉVELOPPEUR BACK-END,INGÉNIEUR PYTHON ET BIG DATA & DÉVELOPPEUR BACK-END - 75019 PARIS 19E - INDEED.FR,Onogone,,,,,,,,,data_scientist
APPLIED RESEARCH SCIENTIST – MACHINE LEARNING F/H,APPLIED RESEARCH SCIENTIST – MACHINE LEARNING F/H - PARIS 2E (75) - INDEED.FR,Rakuten-France,,,,,,,,,data_scientist
HRIS DATA SCIENTIST,HRIS DATA SCIENTIST - PARIS (75) - INDEED.FR,TechnipFMC,TechnipFMC,1.0,"4,0","3,9","3,9","3,4","3,6","3,8",data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,Presans,,,,,,,,,data_scientist
DATA SCIENTIST H/F,DATA SCIENTIST H/F - PARIS (75) - INDEED.FR,Groupe Pierre & Vacances - Center Parcs,Groupe Pierre & Vacances - Center Parcs,58.0,"4,0","3,7","3,3","3,4","3,5","3,7",data_scientist
DATA SCIENTIST H/F,DATA SCIENTIST H/F - PARIS (75) - INDEED.FR,Center Parcs Europe,Center Parcs,295.0,"3,5","3,4","3,2","3,1","2,9","3,3",data_scientist
CHEF DE PROJETS DATA,CHEF DE PROJETS DATA - PARIS (75) - INDEED.FR,L'AgenceRP,,,,,,,,,data_scientist
DATA SCIENTIST H/F,DATA SCIENTIST H/F - PARIS (75) - INDEED.FR,Sophia Engineering,SOPHIA ENGINEERING,6.0,"4,3","4,2","3,7","4,0","4,2","4,5",data_scientist
DATA SCIENTIST H/F,DATA SCIENTIST H/F - PARIS (75) - INDEED.FR,Crédit Agricole,Crédit Agricole,1.0,"3,9","3,8","3,8","3,6","3,5","3,7",data_scientist
DATA SCIENTIST H/F,DATA SCIENTIST H/F - PARIS (75) - INDEED.FR,Avisia,,,,,,,,,data_scientist
SENIOR DATA SCIENTIST - MACHINE LEARNING / NLP,SENIOR DATA SCIENTIST - MACHINE LEARNING / NLP - PARIS (75) - INDEED.FR,Algolia,,,,,,,,,data_scientist
DATA ENGINEER (H/F),DATA ENGINEER (H/F) - PARIS (75) - INDEED.FR,AgoraPulse,,,,,,,,,data_scientist
DATA ENGINEER IA/NLP CONFIRMÉ/E,DATA ENGINEER IA/NLP CONFIRMÉ/E - PARIS (75) - INDEED.FR,HYPERLEX,,,,,,,,,data_scientist
INGÉNIEUR DATA – CONSEIL,INGÉNIEUR DATA – CONSEIL - PARIS (75) - INDEED.FR,BK Search,,,,,,,,,data_scientist
DATA SCIENTIST POLISH SPEAKING,DATA SCIENTIST POLISH SPEAKING - PARIS (75) - INDEED.FR,Shift Technology,,,,,,,,,data_scientist
DATA SCIENTIST SENIOR,DATA SCIENTIST SENIOR - PARIS (75) - INDEED.FR,IPANEMA CONSULTING,,,,,,,,,data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,C3,,,,,,,,,data_scientist
QUANTUM COMPUTING RESEARCH SCIENTIST,QUANTUM COMPUTING RESEARCH SCIENTIST - PALAISEAU (91) - INDEED.FR,Total,Total,1.0,"3,9","3,7","3,6","3,4","3,5","3,6",data_scientist
DATA SCIENTIST F/H,DATA SCIENTIST F/H - PARIS 16E (75) - INDEED.FR,EQUANCY,Equancy,4.0,"3,8","4,3","3,0","3,0","3,0","3,0",data_scientist
DATA SCIENTIST DANS L'UNE DE NOS 1200 STARTUPS [CDI],DATA SCIENTIST DANS L'UNE DE NOS 1200 STARTUPS [CDI] - PARIS (75) - INDEED.FR,Azerty Jobs,,,,,,,,,data_scientist
DATA SCIENTIST SPÉ MACHINE LEARNING /LEADER ENTERTAINMENT /MULTIPROJET,DATA SCIENTIST SPÉ MACHINE LEARNING /LEADER ENTERTAINMENT /MULTIPROJET - 75011 PARIS 11E - INDEED.FR,Inteam - Recrutement digital,,,,,,,,,data_scientist
CHERCHEUR EN MACHINE LEARNING H/F [CDI],CHERCHEUR EN MACHINE LEARNING H/F [CDI] - LEVALLOIS-PERRET (92) - INDEED.FR,Adoc Talent Management,,,,,,,,,data_scientist
HEAD OF DATA ANALYTICS H/F,HEAD OF DATA ANALYTICS H/F - PARIS (75) - INDEED.FR,Leasecom,,,,,,,,,data_scientist
ANDROID DEVELOPER (H/F) - CDI PARIS #KOTLIN,ANDROID DEVELOPER (H/F) - CDI PARIS #KOTLIN - PARIS (75) - INDEED.FR,Kapten,KAPTEN,4.0,"4,0","3,5","3,3","3,8","4,0","4,8",data_scientist
DATA ENGINEER (H/F),DATA ENGINEER (H/F) - PARIS (75) - INDEED.FR,NATIXIS,Groupe Bpce,43.0,"3,7","3,8","3,5","3,3","3,1","3,3",data_scientist
DATA SCIENTIST / DATA ENGINEER,DATA SCIENTIST / DATA ENGINEER - PARIS (75) - INDEED.FR,Clustree,,,,,,,,,data_scientist
DATA STRATEGIST,DATA STRATEGIST - 92230 GENNEVILLIERS - INDEED.FR,Prisma Media SNC,,,,,,,,,data_scientist
ITALIAN SPEAKING DATA SCIENTIST H/F,ITALIAN SPEAKING DATA SCIENTIST H/F - PARIS (75) - INDEED.FR,Shift Technology,,,,,,,,,data_scientist
DATA ENGINEER / ARCHITECT (H/F),DATA ENGINEER / ARCHITECT (H/F) - ISSY-LES-MOULINEAUX (92) - INDEED.FR,L'AgenceRP,,,,,,,,,data_scientist
2018-5574 - DATA ENGINEER H/F MONTREUIL,2018-5574 - DATA ENGINEER H/F MONTREUIL - 75020 PARIS 20E - INDEED.FR,DSI Pôle Emploi,,,,,,,,,data_scientist
IBM FRANCE - DATA SCIENTIST,IBM FRANCE - DATA SCIENTIST - 75001 PARIS 1ER - INDEED.FR,IBM,IBM,24.0,"3,9","3,8","3,5","3,5","3,5","3,7",data_scientist
DATA ENGINEER - PARIS - CDI,DATA ENGINEER - PARIS - CDI - PARIS (75) - INDEED.FR,Tiller Systems,,,,,,,,,data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,Gameloft,Gameloft,67.0,"3,8","3,8","3,2","3,0","3,2","3,5",data_scientist
COUNTRY MANAGER POLAND (H / F),COUNTRY MANAGER POLAND (H / F) - PARIS (75) - INDEED.FR,prestashop.com,,,,,,,,,data_scientist
DATA SCIENTIST (H/F) - PARIS,DATA SCIENTIST (H/F) - PARIS - PARIS (75) - INDEED.FR,Maisons du Monde,Maisons du Monde,330.0,"3,5","3,3","3,1","2,8","3,0","3,3",data_scientist
DATA MINER - DATA SCIENTIST H/F (CDI),DATA MINER - DATA SCIENTIST H/F (CDI) - PARIS (75) - INDEED.FR,GIE AGIRC-ARRCO,,,,,,,,,data_scientist
DATA ENGINEER H/F,DATA ENGINEER H/F - NEUILLY-SUR-SEINE (92) - INDEED.FR,JCDecaux FR,JCDecaux,222.0,"3,8","3,6","3,3","3,2","3,3","3,6",data_scientist
DATA ENGINEER,DATA ENGINEER - PARIS (75) - INDEED.FR,AID intelligence to Data,,,,,,,,,data_scientist
DATA ENGINEER,DATA ENGINEER - PARIS (75) - INDEED.FR,Back Market,,,,,,,,,data_scientist
DATA SCIENTIST H/F,DATA SCIENTIST H/F - NEUILLY-SUR-SEINE (92) - INDEED.FR,JCDecaux FR,JCDecaux,222.0,"3,8","3,6","3,3","3,2","3,3","3,6",data_scientist
DATA SCIENTIST / DATA ENGINEER (H/F),DATA SCIENTIST / DATA ENGINEER (H/F) - PARIS (75) - INDEED.FR,Nova Consulting,,,,,,,,,data_scientist
DATA ENGINEER,DATA ENGINEER - PARIS (75) - INDEED.FR,OuiCar,,,,,,,,,data_scientist
2018-5574 - DATA ENGINEER MONTREUIL F/H,2018-5574 - DATA ENGINEER MONTREUIL F/H - MONTREUIL (93) - INDEED.FR,DSI Pôle Emploi,,,,,,,,,data_scientist
SRE (SITE RELIABILITY ENGINEER) / DEVOPS (H/F) - CDI PARIS,SRE (SITE RELIABILITY ENGINEER) / DEVOPS (H/F) - CDI PARIS - PARIS (75) - INDEED.FR,Kapten,KAPTEN,4.0,"4,0","3,5","3,3","3,8","4,0","4,8",data_scientist
DATA SCIENTIST H/F,DATA SCIENTIST H/F - PARIS (75) - INDEED.FR,Konekt,,,,,,,,,data_scientist
CDI - DATA ENGINEER H/F,CDI - DATA ENGINEER H/F - BOULOGNE-BILLANCOURT (92) - INDEED.FR,TF1,TF1,20.0,"4,2","3,4","3,7","3,1","3,1","3,5",data_scientist
DATA SYSTEMS ENGINEER,DATA SYSTEMS ENGINEER - PARIS (75) - INDEED.FR,Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0",data_scientist
DATA SCIENTIST,DATA SCIENTIST - PARIS (75) - INDEED.FR,Margo Conseil,,,,,,,,,data_scientist
DÉVELOPPEUR BIG DATA,DÉVELOPPEUR BIG DATA - NANTERRE (92) - INDEED.FR,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7",data_scientist
DATA INGÉNIEUR H/F,DATA INGÉNIEUR H/F - ARCUEIL (94) - INDEED.FR,Informatique CDC,INFORMATIQUE CDC,3.0,"3,7","2,5","3,0","3,0","2,5","3,0",data_scientist
"DATA SYSTEMS ENGINEER, ENGINEERING - SITE RELIABILITY","DATA SYSTEMS ENGINEER, ENGINEERING - SITE RELIABILITY - PARIS (75) - INDEED.FR",Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0",data_scientist
DATA WAREHOUSE DEVELOPER,DATA WAREHOUSE DEVELOPER - PARIS (75) - INDEED.FR,Vestiaire Collective,vestiaire collective,2.0,"4,0","4,5","3,5","3,0","3,0","5,0",data_scientist
DATA-ENGINEER,DATA-ENGINEER - PARIS (75) - INDEED.FR,DEEPKI,,,,,,,,,data_scientist
SENIOR DATA SCIENTIST,SENIOR DATA SCIENTIST - PARIS (75) - INDEED.FR,Vestiaire Collective,vestiaire collective,2.0,"4,0","4,5","3,5","3,0","3,0","5,0",data_scientist
DATA ENGINEER JUNIOR F/H,DATA ENGINEER JUNIOR F/H - PARIS 9E (75) - INDEED.FR,ARTEFACT,Artefact,3.0,"5,0","5,0","4,7","4,7","5,0","4,7",data_scientist
DATA ENGINEER BUSINESS - DATA ENGINEERING TEAM,DATA ENGINEER BUSINESS - DATA ENGINEERING TEAM - PARIS (75) - INDEED.FR,Deezer,DEEZER,6.0,"4,2","4,5","4,0","4,0","4,0","4,5",data_scientist
"DATA SCIENTIST, ENGINEERING - SOFTWARE DEVELOPMENT","DATA SCIENTIST, ENGINEERING - SOFTWARE DEVELOPMENT - PARIS (75) - INDEED.FR",Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0",data_scientist
DATA ENGINEER H/F,DATA ENGINEER H/F - 78114 MAGNY-LES-HAMEAUX - INDEED.FR,Safran,Safran,1.0,"4,0","4,0","3,9","3,6","3,6","3,8",data_scientist
DATA SCIENTIST (H/F),DATA SCIENTIST (H/F) - 93100 MONTREUIL - INDEED.FR,Ubisoft,Ubisoft,190.0,"4,0","4,0","3,3","3,4","3,5","4,1",data_scientist
DATA ENGINEER,DATA ENGINEER - PARIS (75) - INDEED.FR,Margo Conseil,,,,,,,,,data_scientist
DATA SCIENTIST / ENGINEER,DATA SCIENTIST / ENGINEER - PARIS (75) - INDEED.FR,La Javaness,,,,,,,,,data_scientist
DATA ENGINEER - H/F,DATA ENGINEER - H/F - LA DÉFENSE (92) - INDEED.FR,Dalkia,Dalkia,417.0,"3,9","3,7","3,6","3,3","3,3","3,6",data_scientist
DATA ENGINEER,DATA ENGINEER - PARIS (75) - INDEED.FR,Groupe Onepoint,GROUPE onePoint,5.0,"4,2","4,2","4,2","4,2","4,0","4,0",data_scientist
DATA ENGINEER,DATA ENGINEER - PARIS (75) - INDEED.FR,BLABLACAR,BlaBlaCar,2.0,"4,5","3,5","4,0","2,0","3,5","5,0",data_scientist
SENIOR SYSTEM ENGINEER,SENIOR SYSTEM ENGINEER - PARIS (75) - INDEED.FR,SMART ADSERVER,,,,,,,,,data_scientist
DNA SYNTHESIS DEVELOPMENT SCIENTIST,DNA SYNTHESIS DEVELOPMENT SCIENTIST - 75014 PARIS 14E - INDEED.FR,DNA Script,,,,,,,,,data_scientist
DATA PIPELINE ENGINEER - DATA ENGINEERING TEAM,DATA PIPELINE ENGINEER - DATA ENGINEERING TEAM - PARIS (75) - INDEED.FR,Deezer,DEEZER,6.0,"4,2","4,5","4,0","4,0","4,0","4,5",data_scientist
DATA SCIENTIST - ADVANCED ANALYTICS,DATA SCIENTIST - ADVANCED ANALYTICS - PARIS (75) - INDEED.FR,McKinsey & Company,McKinsey & Company,439.0,"4,3","3,6","4,3","3,9","4,0","4,1",data_scientist
GRADUATE DATA SCIENTIST - FRANCE (PARIS),GRADUATE DATA SCIENTIST - FRANCE (PARIS) - COURBEVOIE (92) - INDEED.FR,AWS EMEA SARL (France Branch),Amazon.com,31.0,"3,6","3,3","3,7","3,2","3,2","3,4",data_scientist
DATA ENGINEER ️,DATA ENGINEER ️ - PARIS (75) - INDEED.FR,Doctrine,,,,,,,,,data_scientist
"DATA SCIENTIST, ANALYTICS","DATA SCIENTIST, ANALYTICS - PARIS (75) - INDEED.FR",Heetch,Heetch,13.0,"4,3","4,3","4,2","3,7","4,4","4,4",data_scientist
DEVELOPPEUR FULL STACK - STAGE (H/F),DEVELOPPEUR FULL STACK - STAGE (H/F) - PARIS (75) - INDEED.FR,Hardis Group,HARDIS GROUP,3.0,"3,3","3,7","2,7","3,0","2,7","4,0",data_scientist
DATA ENGINEER - PARIS H/F,DATA ENGINEER - PARIS H/F - HAUTS-DE-SEINE - INDEED.FR,Capgemini,Capgemini,6.0,"3,8","3,7","3,3","3,6","3,3","3,6",data_scientist
DATA ENGINEER (H/F) - PARIS,DATA ENGINEER (H/F) - PARIS - PARIS (75) - INDEED.FR,Maisons du Monde,Maisons du Monde,330.0,"3,5","3,3","3,1","2,8","3,0","3,3",data_scientist
