Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
PROFIL FULL DEVOPS,PROFIL FULL DEVOPS - LYON (69) - INDEED.FR,AMETIX,AMETIX,2.0,"4,5","4,5","4,5","4,5","4,5","4,5"
STAGE : ANALYSTE DÉVELOPPEUR BI (H/F),STAGE : ANALYSTE DÉVELOPPEUR BI (H/F) - LYON (69) - INDEED.FR,CGI,CGI Group,2.0,"3,7","3,7","3,5","3,3","3,3","3,5"
BUSINESS ANALYST H/F,BUSINESS ANALYST H/F - PARIS (75) - INDEED.FR,FINALCAD,,,,,,,,
MEDIA TRADER ET DATA ANALYST (CDI),MEDIA TRADER ET DATA ANALYST (CDI) - TASSIN-LA-DEMI-LUNE (69) - INDEED.FR,ADTHINK,,,,,,,,
ADVERTISING DATA ANALYST,ADVERTISING DATA ANALYST - 75009 PARIS 9E - INDEED.FR,Work4 Labs,,,,,,,,
DATA ANALYST,DATA ANALYST - PARIS (75) - INDEED.FR,L'AgenceRP,,,,,,,,
DATA ANALYST M/F,DATA ANALYST M/F - LYON (69) - INDEED.FR,Volvo Group,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9"
DATA ANALYST DIGITAL BANKING (H/F) EN STAGE,DATA ANALYST DIGITAL BANKING (H/F) EN STAGE - LYON (69) - INDEED.FR,Atos,ATOS,2.0,"3,6","3,6","3,3","3,2","3,2","3,4"
GAME DATA ANALYST,GAME DATA ANALYST - PARIS (75) - INDEED.FR,Gameloft,Gameloft,67.0,"3,8","3,8","3,2","3,0","3,2","3,5"
MEDIA TRADER & DATA ANALYST F/H,MEDIA TRADER & DATA ANALYST F/H - LYON 1ER (69) - INDEED.FR,ADTHINK MEDIA,,,,,,,,
CDI - DATA ANALYST - H/F,CDI - DATA ANALYST - H/F - PARIS (75) - INDEED.FR,Reed Exhibitions,,,,,,,,
SOCIAL DATA ANALYST,SOCIAL DATA ANALYST - PARIS (75) - INDEED.FR,FunFacts,,,,,,,,
STAGE : CONSULTANT DATA & INNOVATION EN TRANSPORT ET MOBILITÉ DURABLE,STAGE : CONSULTANT DATA & INNOVATION EN TRANSPORT ET MOBILITÉ DURABLE - LYON (69) - INDEED.FR,EM Services,,,,,,,,
ANALYSTE DÉVELOPPEUR COGNOS / DATASTAGE H/F,ANALYSTE DÉVELOPPEUR COGNOS / DATASTAGE H/F - LYON (69) - INDEED.FR,2s 2i Solutions & Services,,,,,,,,
DATA ANALYST - CRM & TRAFIC - CDI- F/H,DATA ANALYST - CRM & TRAFIC - CDI- F/H - CLICHY (92) - INDEED.FR,Sarenza,Sarenza,20.0,"4,2","4,2","3,4","2,9","3,6","4,2"
GROWTH DATA ANALYST,GROWTH DATA ANALYST - PARIS (75) - INDEED.FR,iBanFirst,,,,,,,,
GROWTH DATA ANALYST | FINTECH X STARTUP,GROWTH DATA ANALYST | FINTECH X STARTUP - PARIS 8E (75) - INDEED.FR,iBanFirst,,,,,,,,
STRATEGY & BUSINESS ANALYST F/H,STRATEGY & BUSINESS ANALYST F/H - LYON 8E (69) - INDEED.FR,Sham,SHAM,3.0,"4,3","4,3","3,3","3,0","3,7","3,7"
